Object Name,Bounding Box,Area,Overlap Area,Percentage
Bia_Truc_Bach,"(161, 232), (439, 715)",134274.0,0.0,0.0
Heiniken,"(800, 259), (1005, 713)",93070.0,0.0,0.0
Bia_Truc_Bach,"(161, 233), (438, 714)",133237.0,0.0,0.0
Heiniken,"(805, 255), (1005, 713)",91600.0,0.0,0.0
Bia_Truc_Bach,"(164, 225), (437, 711)",132678.0,0.0,0.0
Heiniken,"(808, 250), (1003, 712)",90090.0,0.0,0.0
Bia_Truc_Bach,"(162, 223), (436, 696)",129602.0,0.0,0.0
Heiniken,"(814, 245), (1004, 706)",87590.0,0.0,0.0
Bia_Truc_Bach,"(162, 217), (434, 690)",128656.0,128525.3,99.9
Bia_Truc_Bach,"(163, 217), (434, 691)",128454.0,128525.3,100.1
Bia_Truc_Bach,"(162, 216), (432, 686)",126900.0,0.0,0.0
Heiniken,"(818, 243), (1007, 706)",87507.0,0.0,0.0
Bia_Truc_Bach,"(163, 215), (431, 682)",125156.0,0.0,0.0
Heiniken,"(823, 239), (1015, 703)",89088.0,88358.5,99.2
Heiniken,"(823, 239), (1014, 702)",88433.0,88358.5,99.9
Bia_Truc_Bach,"(164, 215), (431, 680)",124155.0,0.0,0.0
Heiniken,"(829, 237), (1019, 699)",87780.0,0.0,0.0
Heiniken,"(834, 233), (1022, 691)",86104.0,0.0,0.0
Bia_Truc_Bach,"(165, 214), (432, 678)",123888.0,0.0,0.0
Bia_Truc_Bach,"(164, 213), (434, 679)",125820.0,0.0,0.0
Heiniken,"(828, 230), (1024, 687)",89572.0,88637.4,99.0
Heiniken,"(829, 233), (1025, 689)",89376.0,88637.4,99.2
Bia_Truc_Bach,"(167, 216), (435, 680)",124352.0,0.0,0.0
Heiniken,"(822, 234), (1049, 688)",103058.0,102271.4,99.2
Heiniken,"(822, 233), (1051, 686)",103737.0,102271.4,98.6
Bia_Truc_Bach,"(168, 216), (437, 680)",124816.0,0.0,0.0
Heiniken,"(815, 234), (1057, 686)",109384.0,0.0,0.0
Bia_Truc_Bach,"(168, 217), (437, 679)",124278.0,0.0,0.0
Heiniken,"(816, 242), (1067, 689)",112197.0,0.0,0.0
Bia_Truc_Bach,"(168, 217), (439, 678)",124931.0,0.0,0.0
Heiniken,"(814, 241), (1066, 689)",112896.0,110979.0,98.3
Heiniken,"(811, 244), (1065, 686)",112268.0,110979.0,98.9
Heiniken,"(808, 243), (1061, 686)",112079.0,0.0,0.0
Bia_Truc_Bach,"(168, 216), (438, 678)",124740.0,0.0,0.0
Heiniken,"(804, 242), (1055, 688)",111946.0,0.0,0.0
Bia_Truc_Bach,"(169, 215), (439, 676)",124470.0,0.0,0.0
Heiniken,"(796, 246), (1048, 670)",106848.0,0.0,0.0
Bia_Truc_Bach,"(170, 212), (439, 675)",124547.0,0.0,0.0
Heiniken,"(790, 248), (1030, 638)",93600.0,0.0,0.0
Bia_Truc_Bach,"(168, 213), (439, 674)",124931.0,0.0,0.0
Heiniken,"(787, 241), (993, 667)",87756.0,0.0,0.0
Bia_Truc_Bach,"(168, 210), (440, 669)",124848.0,0.0,0.0
Bia_Truc_Bach,"(169, 210), (440, 669)",124389.0,0.0,0.0
Heiniken,"(782, 244), (973, 661)",79647.0,0.0,0.0
Bia_Truc_Bach,"(169, 210), (440, 667)",123847.0,0.0,0.0
Heiniken,"(780, 244), (959, 675)",77149.0,75487.7,97.8
Heiniken,"(783, 246), (960, 674)",75756.0,75487.7,99.6
Heiniken,"(779, 250), (951, 673)",72756.0,0.0,0.0
Bia_Truc_Bach,"(170, 210), (439, 665)",122395.0,0.0,0.0
Heiniken,"(772, 254), (942, 581)",55590.0,0.0,0.0
Bia_Truc_Bach,"(169, 210), (438, 664)",122126.0,0.0,0.0
Heiniken,"(771, 255), (934, 625)",60310.0,0.0,0.0
Bia_Truc_Bach,"(169, 213), (438, 665)",121588.0,0.0,0.0
Heiniken,"(766, 258), (932, 637)",62914.0,0.0,0.0
Bia_Truc_Bach,"(173, 217), (438, 671)",120310.0,0.0,0.0
Heiniken,"(766, 256), (931, 630)",61710.0,0.0,0.0
Bia_Truc_Bach,"(174, 218), (439, 674)",120840.0,0.0,0.0
Heiniken,"(768, 256), (932, 620)",59696.0,0.0,0.0
Bia_Truc_Bach,"(175, 219), (440, 676)",121105.0,0.0,0.0
Heiniken,"(772, 261), (933, 654)",63273.0,0.0,0.0
Bia_Truc_Bach,"(175, 219), (444, 684)",125085.0,123917.1,99.1
Heiniken,"(0, 0), (55, 584)",32120.0,0.0,0.0
Bia_Truc_Bach,"(172, 219), (444, 681)",125664.0,123917.1,98.6
Heiniken,"(771, 265), (933, 641)",60912.0,0.0,0.0
Bia_Truc_Bach,"(177, 221), (446, 687)",125354.0,124469.7,99.3
Bia_Truc_Bach,"(174, 221), (446, 684)",125936.0,124469.7,98.8
Heiniken,"(766, 270), (932, 684)",68724.0,0.0,0.0
Bia_Truc_Bach,"(181, 224), (444, 690)",122558.0,0.0,0.0
Heiniken,"(757, 275), (936, 637)",64798.0,0.0,0.0
Bia_Truc_Bach,"(184, 228), (443, 692)",120176.0,119953.6,99.8
Bia_Truc_Bach,"(184, 229), (444, 693)",120640.0,119953.6,99.4
Bia_Truc_Bach,"(187, 228), (448, 691)",120843.0,0.0,0.0
Heiniken,"(743, 278), (937, 654)",72944.0,0.0,0.0
Bia_Truc_Bach,"(188, 229), (448, 692)",120380.0,0.0,0.0
Heiniken,"(739, 279), (940, 653)",75174.0,0.0,0.0
Heiniken,"(738, 281), (940, 652)",74942.0,0.0,0.0
Bia_Truc_Bach,"(189, 227), (449, 691)",120640.0,0.0,0.0
Heiniken,"(739, 283), (940, 673)",78390.0,0.0,0.0
Bia_Truc_Bach,"(191, 228), (450, 690)",119658.0,0.0,0.0
Heiniken,"(742, 285), (938, 633)",68208.0,0.0,0.0
Bia_Truc_Bach,"(192, 225), (450, 690)",119970.0,119653.7,99.7
Bia_Truc_Bach,"(193, 225), (451, 690)",119970.0,119653.7,99.7
Heiniken,"(750, 288), (936, 693)",75330.0,0.0,0.0
Bia_Truc_Bach,"(191, 226), (452, 692)",121626.0,0.0,0.0
Bia_Truc_Bach,"(199, 226), (453, 692)",118364.0,0.0,0.0
Heiniken,"(759, 292), (929, 704)",70040.0,0.0,0.0
Heiniken,"(754, 289), (941, 698)",76483.0,0.0,0.0
Bia_Truc_Bach,"(201, 226), (455, 688)",117348.0,0.0,0.0
Bia_Truc_Bach,"(205, 224), (457, 688)",116928.0,0.0,0.0
Heiniken,"(759, 283), (946, 697)",77418.0,0.0,0.0
Bia_Truc_Bach,"(207, 225), (461, 688)",117602.0,0.0,0.0
Heiniken,"(767, 278), (949, 697)",76258.0,0.0,0.0
Heiniken,"(0, 0), (55, 575)",31625.0,0.0,0.0
Bia_Truc_Bach,"(208, 227), (464, 686)",117504.0,0.0,0.0
Heiniken,"(773, 276), (947, 693)",72558.0,0.0,0.0
Heiniken,"(782, 272), (946, 692)",68880.0,0.0,0.0
Bia_Truc_Bach,"(214, 225), (464, 684)",114750.0,0.0,0.0
Heiniken,"(0, 0), (54, 582)",31428.0,0.0,0.0
Bia_Truc_Bach,"(215, 224), (464, 681)",113793.0,0.0,0.0
Heiniken,"(786, 269), (950, 692)",69372.0,0.0,0.0
Heiniken,"(0, 0), (54, 571)",30834.0,0.0,0.0
Heiniken,"(787, 265), (952, 693)",70620.0,0.0,0.0
Bia_Truc_Bach,"(221, 227), (465, 686)",111996.0,0.0,0.0
Heiniken,"(786, 263), (952, 693)",71380.0,0.0,0.0
Bia_Truc_Bach,"(224, 226), (466, 687)",111562.0,0.0,0.0
Heiniken,"(785, 263), (954, 692)",72501.0,0.0,0.0
Bia_Truc_Bach,"(227, 231), (465, 690)",109242.0,0.0,0.0
Bia_Truc_Bach,"(228, 231), (468, 690)",110160.0,0.0,0.0
Heiniken,"(784, 262), (955, 691)",73359.0,0.0,0.0
Bia_Truc_Bach,"(233, 232), (471, 688)",108528.0,0.0,0.0
Heiniken,"(784, 261), (956, 692)",74132.0,0.0,0.0
Bia_Truc_Bach,"(238, 232), (470, 687)",105560.0,0.0,0.0
Heiniken,"(783, 259), (954, 690)",73701.0,0.0,0.0
Bia_Truc_Bach,"(241, 232), (480, 687)",108745.0,0.0,0.0
Heiniken,"(784, 259), (953, 689)",72670.0,0.0,0.0
Heiniken,"(0, 0), (53, 574)",30422.0,0.0,0.0
Bia_Truc_Bach,"(242, 234), (481, 689)",108745.0,0.0,0.0
Heiniken,"(782, 260), (951, 686)",71994.0,0.0,0.0
Heiniken,"(0, 0), (52, 567)",29484.0,0.0,0.0
Bia_Truc_Bach,"(248, 237), (484, 689)",106672.0,0.0,0.0
Heiniken,"(783, 258), (951, 687)",72072.0,0.0,0.0
Heiniken,"(782, 254), (952, 687)",73610.0,0.0,0.0
Bia_Truc_Bach,"(252, 236), (484, 687)",104632.0,0.0,0.0
Heiniken,"(0, 0), (51, 574)",29274.0,0.0,0.0
